,stations_id,stationshoehe,geogr_breite,geogr_laenge,von_datum,bis_datum,stationsname
2988,4729,383.0,50.2846,9.4547,1998-02-01 00:00:00+01:00,1998-04-16 00:00:00+02:00,Steinau-Seidenroth
2989,4729,342.0,50.2882,9.4583,1998-04-17 00:00:00+02:00,2004-02-29 00:00:00+01:00,Steinau-Seidenroth
2990,4881,469.0,47.846,9.0062,1936-11-07 00:00:00+00:00,1945-02-28 00:00:00+01:00,Stockach
2991,4881,469.0,47.846,9.0062,1948-04-01 00:00:00+01:00,1949-03-31 00:00:00+01:00,Stockach
2992,4881,475.0,47.8524,9.0282,1977-10-01 00:00:00+01:00,1994-07-31 00:00:00+02:00,Stockach
2993,4881,532.0,47.8591,9.0152,2002-12-01 00:00:00+01:00,,Stockach
2994,7393,115.9,51.4493,14.2533,2006-03-01 00:00:00+01:00,,Hoyerswerda
2995,3228,506.0,51.0976,7.667,1979-08-01 00:00:00+02:00,1995-12-31 00:00:00+01:00,Meinerzhagen (A)
2996,3228,506.0,51.0976,7.667,2007-03-01 00:00:00+01:00,2007-09-18 00:00:00+02:00,Meinerzhagen (A)
2997,1079,37.0,51.1998,6.7574,1927-01-01 00:00:00+00:00,1959-11-30 00:00:00+01:00,Düsseldorf-Südfriedhof
2998,1079,37.0,51.1998,6.7574,1959-12-01 00:00:00+01:00,1996-07-31 00:00:00+02:00,Düsseldorf-Südfriedhof
2999,3181,385.0,49.4928,10.6544,1937-11-06 00:00:00+00:00,1995-08-31 00:00:00+02:00,Markt Erlbach-Hagenhofen
3000,3181,360.0,49.4889,10.6279,1995-09-01 00:00:00+02:00,2005-07-31 00:00:00+02:00,Markt Erlbach-Hagenhofen
3001,3181,360.0,49.4875,10.6277,2018-10-01 00:00:00+02:00,,Markt Erlbach-Hagenhofen
3002,4225,373.0,49.2195,12.536,1979-01-01 00:00:00+01:00,2019-04-27 00:00:00+02:00,Roding-Wetterfeld
3003,15951,280.0,49.2121,7.5882,1976-04-01 00:00:00+01:00,2004-08-31 00:00:00+02:00,Pirmasens (Kläranlage)
3004,578,379.0,48.9451,11.3667,1951-03-01 00:00:00+01:00,1966-12-31 00:00:00+01:00,Böhming
3005,13932,388.0,48.3617,13.1938,1987-05-01 00:00:00+02:00,,Rotthalmünster (Landwirtschaftsamt)
3006,102,32.0,53.8633,8.1275,1970-06-04 00:00:00+01:00,,Leuchtturm Alte Weser
3007,422,35.0,52.5333,13.3833,1956-01-01 00:00:00+01:00,1991-08-31 00:00:00+02:00,Berlin-Mitte
3008,6110,11.0,53.8542,13.4949,1998-09-01 00:00:00+02:00,2011-09-03 00:00:00+02:00,Medow-Wussentin
3009,6110,11.0,53.8545,13.4949,2011-09-04 00:00:00+02:00,2017-12-31 00:00:00+01:00,Medow-Wussentin
3010,399,35.8,52.5205,13.4105,1969-01-01 00:00:00+01:00,2015-06-30 00:00:00+02:00,Berlin-Alexanderplatz
3011,399,35.8,52.5198,13.4057,2015-07-01 00:00:00+02:00,,Berlin-Alexanderplatz
3012,2228,886.0,47.9044,8.1047,1937-02-01 00:00:00+00:00,1973-03-31 00:00:00+01:00,Hinterzarten
3013,2228,883.0,47.8983,8.1055,1973-04-01 00:00:00+01:00,,Hinterzarten
3014,5149,330.0,49.55,10.23,1894-10-01 00:00:00+00:18,1951-02-17 00:00:00+01:00,Gollhofen
3015,5149,339.0,49.5436,10.2369,1951-02-18 00:00:00+01:00,1978-10-31 00:00:00+01:00,Gollhofen
3016,5149,337.0,49.5414,10.2349,1978-11-01 00:00:00+01:00,1980-08-31 00:00:00+02:00,Gollhofen
3017,5149,340.0,49.5392,10.2335,1980-09-01 00:00:00+02:00,1991-10-31 00:00:00+01:00,Gollhofen
3018,5149,306.0,49.5741,10.1915,2003-06-12 00:00:00+02:00,,Gollhofen
3019,5244,205.0,49.2531,6.8574,1958-02-11 00:00:00+01:00,1976-03-31 00:00:00+01:00,Völklingen-Stadt
3020,5244,220.0,49.2581,6.8612,1976-04-01 00:00:00+01:00,1982-03-01 00:00:00+01:00,Völklingen-Stadt
3021,3442,144.0,50.3682,8.7421,1900-11-01 00:00:00+00:18,1978-05-31 00:00:00+02:00,"Nauheim, Bad"
3022,3442,160.0,50.3716,8.7373,1978-06-01 00:00:00+02:00,1994-01-31 00:00:00+01:00,"Nauheim, Bad"
3023,3442,142.0,50.3685,8.7646,1994-02-01 00:00:00+01:00,2001-04-02 00:00:00+02:00,"Nauheim, Bad"
3024,3442,148.5,50.3574,8.7506,2004-03-25 00:00:00+01:00,,"Nauheim, Bad"
3025,3158,12.1,52.55,14.55,1966-01-01 00:00:00+01:00,1974-12-31 00:00:00+01:00,Manschnow
3026,3158,12.1,52.5469,14.5456,1985-01-01 00:00:00+01:00,2006-10-18 00:00:00+02:00,Manschnow
3027,3158,12.0,52.5469,14.5456,2006-10-19 00:00:00+02:00,2008-03-05 00:00:00+01:00,Manschnow
3028,3158,12.0,52.5468,14.5453,2008-03-06 00:00:00+01:00,,Manschnow
3029,5538,546.0,47.8841,11.1572,1920-01-01 00:00:00+00:00,1999-01-31 00:00:00+01:00,Wielenbach (Demollstr.)
3030,5538,545.0,47.8844,11.1576,1999-02-01 00:00:00+01:00,2004-12-31 00:00:00+01:00,Wielenbach (Demollstr.)
3031,5538,551.0,47.8827,11.1576,2005-01-01 00:00:00+01:00,,Wielenbach (Demollstr.)
3032,2931,128.0,51.392,12.3962,1908-12-31 00:00:00+00:00,1972-04-30 00:00:00+01:00,Leipzig-Mockau
3033,2323,186.0,51.8251,9.492,1934-04-01 00:00:00+00:00,1953-12-31 00:00:00+01:00,"Bevern, Kr. Holzminden"
3034,2323,100.0,51.8297,9.4631,1954-01-01 00:00:00+01:00,1978-10-31 00:00:00+01:00,"Bevern, Kr. Holzminden"
3035,2323,128.0,51.8167,9.4581,1978-11-01 00:00:00+01:00,1991-07-31 00:00:00+02:00,"Bevern, Kr. Holzminden"
3036,2323,110.0,51.8529,9.4953,2006-04-05 00:00:00+02:00,,"Bevern, Kr. Holzminden"
3037,6159,6.0,52.9828,7.3576,1959-02-27 00:00:00+01:00,1999-09-27 00:00:00+02:00,Dörpen
3038,6159,6.0,52.9829,7.3586,1999-09-28 00:00:00+02:00,2008-11-30 00:00:00+01:00,Dörpen
3039,6159,8.0,52.9542,7.3196,2008-12-01 00:00:00+01:00,,Dörpen
3040,5133,285.0,51.3085,8.9052,1910-09-01 00:00:00+00:00,1930-12-31 00:00:00+00:00,Twistetal-Mühlhausen
