,stations_id,betreibername,betrieb_von_datum,betrieb_bis_datum
246,5046,Wetterdienst,1909-02-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
247,5046,DWD,1952-11-11 00:00:00+01:00,1983-03-31 00:00:00+02:00
248,5046,DWD,1983-10-01 00:00:00+01:00,2002-10-31 00:00:00+01:00
249,5046,DWD,2007-10-30 00:00:00+01:00,
250,1103,Wetterdienst,1900-01-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
251,1103,DWD,1952-11-11 00:00:00+01:00,1989-09-30 00:00:00+01:00
252,1103,DWD,1990-01-01 00:00:00+01:00,
253,3734,Wetterdienst,1937-11-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
254,3734,DWD,1952-11-11 00:00:00+01:00,
255,2429,GeophysBdBw,1959-06-01 00:00:00+01:00,2002-12-31 00:00:00+01:00
256,2429,GeoInfoDBw,2003-01-01 00:00:00+01:00,2003-06-30 00:00:00+02:00
257,2429,DWD,2003-07-01 00:00:00+02:00,
258,2573,DWD,1987-02-01 00:00:00+01:00,
259,13711,DWD,2007-09-01 00:00:00+02:00,
260,3836,Wetterdienst,1899-10-01 00:00:00+00:18,1917-04-30 00:00:00+02:00
261,3836,Wetterdienst,1951-01-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
262,3836,DWD,1952-11-11 00:00:00+01:00,1998-02-16 00:00:00+01:00
263,3836,DWD,1998-07-01 00:00:00+02:00,2000-07-31 00:00:00+02:00
264,3836,DWD,2000-09-01 00:00:00+02:00,2001-06-30 00:00:00+02:00
265,3836,DWD,2005-11-10 00:00:00+01:00,
266,2878,DWD,1890-09-01 00:00:00+00:18,2007-04-30 00:00:00+02:00
267,2878,DWD,2017-03-08 00:00:00+01:00,
268,294,DWD,1992-02-01 00:00:00+01:00,
269,4651,Wetterdienst,1878-06-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
270,4651,DWD,1952-11-11 00:00:00+01:00,
271,3485,DWD,1991-06-01 00:00:00+02:00,
272,1757,Wetterdienst,1898-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
273,1757,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
274,1757,DWD,1991-01-01 00:00:00+01:00,
275,167,Wetterdienst,1890-05-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
276,167,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
277,167,DWD,1991-01-01 00:00:00+01:00,2003-12-31 00:00:00+01:00
278,167,DWD,2004-01-01 00:00:00+01:00,
279,150,Wetterdienst,1900-11-01 00:00:00+00:18,1930-12-31 00:00:00+00:00
280,150,Wetterdienst,1931-07-01 00:00:00+01:00,1944-11-30 00:00:00+01:00
281,150,Wetterdienst,1946-07-01 00:00:00+02:00,1946-12-31 00:00:00+01:00
282,150,Wetterdienst,1950-03-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
283,150,DWD,1952-11-11 00:00:00+01:00,1963-05-31 00:00:00+01:00
284,150,DWD,1963-07-11 00:00:00+01:00,1987-02-28 00:00:00+01:00
285,150,DWD,1987-05-26 00:00:00+02:00,2004-08-31 00:00:00+02:00
286,150,DWD,2005-07-01 00:00:00+02:00,
287,7395,DWD,2006-03-01 00:00:00+01:00,
288,5640,GeophysBdBw,1961-11-20 00:00:00+01:00,2003-03-10 00:00:00+01:00
289,5640,GeoInfoDBw,2003-03-11 00:00:00+01:00,
290,5300,Wetterdienst,1892-08-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
291,5300,DWD,1952-11-11 00:00:00+01:00,1999-12-31 00:00:00+01:00
292,5300,DWD,2003-04-24 00:00:00+02:00,
293,3321,DWD,2005-05-23 00:00:00+02:00,
294,1332,Wetterdienst,1936-06-09 00:00:00+01:00,1952-11-10 00:00:00+01:00
295,1332,DWD,1952-11-11 00:00:00+01:00,
296,3623,GeophysBdBw,1958-03-01 00:00:00+01:00,2003-03-10 00:00:00+01:00
297,3623,GeoInfoDBw,2003-03-11 00:00:00+01:00,
298,4104,Wetterdienst,1718-12-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
299,4104,DWD,1952-11-11 00:00:00+01:00,
300,368,GeophysBdBw,1960-03-03 00:00:00+01:00,2003-03-10 00:00:00+01:00
301,368,GeoInfoDBw,2003-03-11 00:00:00+01:00,
302,6305,DWD,2002-11-01 00:00:00+01:00,
303,662,Wetterdienst,1939-12-01 00:00:00+00:00,1952-11-10 00:00:00+01:00
304,662,DWD,1952-11-11 00:00:00+01:00,
305,4508,Wetterdienst,1886-12-01 00:00:00+00:18,1944-08-31 00:00:00+02:00
306,4508,Wetterdienst,1952-04-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
307,4508,DWD,1952-11-11 00:00:00+01:00,1986-07-31 00:00:00+02:00
308,4508,DWD,1987-01-01 00:00:00+01:00,
309,642,Wetterdienst,1878-01-09 00:00:00+00:18,1952-11-10 00:00:00+01:00
310,642,DWD,1952-11-11 00:00:00+01:00,
311,4709,DWD,1979-04-01 00:00:00+01:00,
312,5797,Wetterdienst,1829-06-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
313,5797,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
314,5797,DWD,1991-01-01 00:00:00+01:00,
315,4559,DWD,1996-05-01 00:00:00+02:00,
316,2750,Wetterdienst,1894-10-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
317,2750,DWD,1952-11-11 00:00:00+01:00,
318,420,DWD,1993-05-01 00:00:00+02:00,2003-12-31 00:00:00+01:00
319,420,DWD,2006-08-23 00:00:00+02:00,
320,7106,DWD,2006-04-01 00:00:00+02:00,
321,6197,DWD,2000-10-11 00:00:00+02:00,
322,3166,Meteorologischer Dienst der DDR,1955-08-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
323,3166,DWD,1991-01-01 00:00:00+01:00,
324,4287,Wetterdienst,1894-10-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
325,4287,DWD,1952-11-11 00:00:00+01:00,
326,4501,Wetterdienst,1887-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
327,4501,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
328,4501,DWD,1991-01-01 00:00:00+01:00,
329,3098,DWD,1994-01-01 00:00:00+01:00,
330,3811,Wetterdienst,1889-01-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
331,3811,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
332,3811,DWD,1991-01-01 00:00:00+01:00,
333,7394,DWD,2006-03-01 00:00:00+01:00,
334,2497,Wetterdienst,1897-01-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
335,2497,DWD,1952-11-11 00:00:00+01:00,
336,15911,DWD,2017-04-13 00:00:00+02:00,
337,13932,DWD,1987-05-01 00:00:00+02:00,
338,7099,DWD,2004-03-25 00:00:00+01:00,2022-01-25 00:00:00+01:00
339,3571,Wetterdienst,1951-02-10 00:00:00+01:00,1952-11-10 00:00:00+01:00
340,3571,DWD,1952-11-11 00:00:00+01:00,
341,377,Wetterdienst,1926-11-01 00:00:00+00:00,1939-08-31 00:00:00+01:00
342,377,Wetterdienst,1941-01-01 00:00:00+02:00,1943-12-31 00:00:00+01:00
343,377,Wetterdienst,1947-01-01 00:00:00+01:00,1952-11-10 00:00:00+01:00
344,377,DWD,1952-11-11 00:00:00+01:00,2002-12-31 00:00:00+01:00
345,377,DWD,2003-03-11 00:00:00+01:00,
346,3126,Wetterdienst,1771-06-15 00:00:00+00:18,1949-12-31 00:00:00+01:00
347,3126,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
348,3126,DWD,1991-01-01 00:00:00+01:00,
349,1468,DWD,1948-03-15 00:00:00+01:00,
350,3366,DWD,1899-01-05 00:00:00+00:18,
351,183,DWD,1878-06-01 00:00:00+00:18,
352,3379,DWD,1954-05-28 00:00:00+01:00,
353,6091,Wetterdienst,1896-07-01 00:00:00+00:18,1952-11-10 00:00:00+01:00
354,6091,DWD,1952-11-11 00:00:00+01:00,
355,4896,DWD,1974-11-28 00:00:00+01:00,1997-02-28 00:00:00+01:00
356,4896,DWD,1998-12-01 00:00:00+01:00,
357,6170,DWD,1999-11-01 00:00:00+01:00,
358,7432,DWD,2006-09-01 00:00:00+02:00,
359,5871,DWD,1997-07-01 00:00:00+02:00,
360,4642,Wetterdienst,1882-05-01 00:00:00+00:18,1949-12-31 00:00:00+01:00
361,4642,Meteorologischer Dienst der DDR,1950-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
362,4642,DWD,1991-01-01 00:00:00+01:00,
363,4280,Wetterdienst,1940-02-01 00:00:00+00:00,1945-02-28 00:00:00+01:00
364,4280,GeophysBdBw,1962-05-16 00:00:00+01:00,2002-12-31 00:00:00+01:00
